Row Labels,Sum of ACTUAL_SALES,Sum of PREDICTED_SALES,,,,
01-12-2025,7280,8571.11,,7280,8571.11,18%
02-12-2025,7328,7932.31,,7328,7932.31,8%
03-12-2025,8259,7319.79,,8259,7319.79,11%
04-12-2025,7058,6664.91,,7058,6664.91,6%
05-12-2025,10270,6082.1,,10270,6082.1,41%
06-12-2025,5917,5480.79,,5917,5480.79,7%
07-12-2025,4188,4978.9,,4188,4978.9,19%
08-12-2025,10237,9251.31,,10237,9251.31,10%
09-12-2025,8517,8578.26,,8517,8578.26,1%
10-12-2025,8776,8078.54,,8776,8078.54,8%
11-12-2025,6810,7488.48,,6810,7488.48,10%
12-12-2025,10688,6896.39,,10688,6896.39,35%
13-12-2025,5720,6409.57,,5720,6409.57,12%
14-12-2025,3753,5748.19,,3753,5748.19,53%
15-12-2025,9819,9881.95,,9819,9881.95,1%
16-12-2025,11921,9359.12,,11921,9359.12,21%
17-12-2025,9315,8837.63,,9315,8837.63,5%
18-12-2025,7098,8255.73,,7098,8255.73,16%
19-12-2025,9288,7718.13,,9288,7718.13,17%
20-12-2025,5323,7152.06,,5323,7152.06,34%
21-12-2025,3491,6679.98,,3491,6679.98,91%
22-12-2025,8376,10572.2,,8376,10572.2,26%
23-12-2025,6369,10084.52,,6369,10084.52,58%
24-12-2025,9385,9547.41,,9385,9547.41,2%
25-12-2025,7262,9084.81,,7262,9084.81,25%
26-12-2025,7210,8505.98,,7210,8505.98,18%
27-12-2025,5517,8140.03,,5517,8140.03,48%
28-12-2025,3309,7539.21,,3309,7539.21,128%
29-12-2025,9479,11352.22,,9479,11352.22,20%
30-12-2025,9868,10873.29,,9868,10873.29,10%
31-12-2025,17464,10334.52,,17464,10334.52,41%
Grand Total,245295,253399.44,,,avg,26%
,,,,,med,18%
