Row Labels,Sum of ACTUAL_SALES,Sum of PREDICTED_SALES,,,,
01-10-2025,31308,52770.92,,31308,52770.92,69%
02-10-2025,57200,8395.39,,57200,8395.39,85%
03-10-2025,18674,7776.43,,18674,7776.43,58%
04-10-2025,12686,7200.16,,12686,7200.16,43%
05-10-2025,10758,6688.32,,10758,6688.32,38%
06-10-2025,18594,10982.84,,18594,10982.84,41%
07-10-2025,15386,10373.31,,15386,10373.31,33%
08-10-2025,17270,9783.49,,17270,9783.49,43%
09-10-2025,13815,9250.84,,13815,9250.84,33%
10-10-2025,22092,9403.89,,22092,9403.89,57%
11-10-2025,14205,8043.9,,14205,8043.9,43%
12-10-2025,14207,7637.98,,14207,7637.98,46%
13-10-2025,24020,11681.92,,24020,11681.92,51%
14-10-2025,21773,11069.92,,21773,11069.92,49%
15-10-2025,27033,10579.09,,27033,10579.09,61%
16-10-2025,23649,10078.3,,23649,10078.3,57%
17-10-2025,42562,18050.37,,42562,18050.37,58%
18-10-2025,234200,236602.74,,234200,236602.74,1%
19-10-2025,138573,89463.29,,138573,89463.29,35%
20-10-2025,95122,84397.02,,95122,84397.02,11%
21-10-2025,58529,70880.38,,58529,70880.38,21%
22-10-2025,77124,62377.69,,77124,62377.69,19%
23-10-2025,86906,110695.25,,86906,110695.25,27%
24-10-2025,21105,5406.04,,21105,5406.04,74%
25-10-2025,12314,7272.34,,12314,7272.34,41%
26-10-2025,14434,7822.94,,14434,7822.94,46%
27-10-2025,15250,10383.83,,15250,10383.83,32%
28-10-2025,13505,12403.91,,13505,12403.91,8%
29-10-2025,14922,11938.73,,14922,11938.73,20%
30-10-2025,12056,11432.31,,12056,11432.31,5%
31-10-2025,23111,10972.27,,23111,10972.27,53%
Grand Total,1202383,941815.81,,,,41%
,,,,,,43%
