Row Labels,Sum of ACTUAL_SALES,Sum of PREDICTED_SALES,,,,,
01-09-2025,7571,6169.08,,7571,6169.08,19%,0.185169727
02-09-2025,6905,6302.9,,6905,6302.9,9%,0.087197683
03-09-2025,7778,7333.51,,7778,7333.51,6%,0.057147082
04-09-2025,6169,7672.92,,6169,7672.92,24%,0.243786675
05-09-2025,7608,4452.65,,7608,4452.65,41%,0.414741062
06-09-2025,4506,7430.56,,4506,7430.56,65%,0.64903684
07-09-2025,2635,7723.61,,2635,7723.61,193%,
08-09-2025,5195,5376.92,,5195,5376.92,4%,0.035018287
09-09-2025,4350,5261.8,,4350,5261.8,21%,0.209609195
10-09-2025,4001,5774.7,,4001,5774.7,44%,0.443314171
11-09-2025,3141,3572.44,,3141,3572.44,14%,0.137357529
12-09-2025,3690,3224.55,,3690,3224.55,13%,0.126138211
13-09-2025,2049,2770.25,,2049,2770.25,35%,0.352000976
14-09-2025,1157,1355.42,,1157,1355.42,17%,0.171495246
15-09-2025,2432,4486.46,,2432,4486.46,84%,0.844761513
16-09-2025,2377,3092.39,,2377,3092.39,30%,0.300963399
17-09-2025,2409,2696.81,,2409,2696.81,12%,0.11947281
18-09-2025,1517,2561.21,,1517,2561.21,69%,0.688338827
19-09-2025,1600,983.78,,1600,983.78,39%,0.3851375
20-09-2025,1688,3401.29,,1688,3401.29,101%,1.014982227
21-09-2025,622,841.37,,622,841.37,35%,0.352684887
22-09-2025,44059,76897.04,,44059,76897.04,75%,
23-09-2025,28943,46689.86,,28943,46689.86,61%,
24-09-2025,31386,30591.38,,31386,30591.38,3%,
25-09-2025,25594,27359.75,,25594,27359.75,7%,
26-09-2025,30673,36469.32,,30673,36469.32,19%,
27-09-2025,19166,27705.8,,19166,27705.8,45%,
28-09-2025,21170,32862.41,,21170,32862.41,55%,
29-09-2025,31982,36257.24,,31982,36257.24,13%,
30-09-2025,30147,47390.51,,30147,47390.51,57%,
Grand Total,342520,454707.93,,,avg,40%,
,,,,,med,33%,
