MARRIAGE_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,TOTAL_FESTIVAL_DAYS_futcov,FESTIVE_PHASE_I_futcov,darts_enc_fc_pos_relative_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_fc_cus_custom_futcov,darts_enc_fc_cyc_month_cos_futcov,PROP_FESTIVE_PHASE_I_futcov,PROP_PITRU_PAKSH_futcov,FESTIVE_PHASE_III_futcov,PROP_FESTIVE_PHASE_II_futcov,PITRU_PAKSH_futcov,LAST_YEAR_CONTRIBUTION_futcov,FESTIVE_PHASE_II_futcov
0.3,1.0,3.2,3.4000000000000004,3.8,3.9,5.2,5.7,6.0,6.2,7.8,8.9,9.8,10.4,12.1,12.4
0.3,1.0999999999999999,3.0,2.6,2.1999999999999997,5.1,3.3000000000000003,5.6000000000000005,5.8999999999999995,5.800000000000001,7.1,9.3,16.900000000000002,8.200000000000001,9.700000000000001,13.900000000000002
0.4,1.0,2.8000000000000003,4.2,3.2,2.6,4.3,5.4,7.000000000000001,6.7,10.0,7.5,8.9,8.799999999999999,11.600000000000001,15.7
0.4,0.8999999999999999,2.6,4.0,2.6,2.9000000000000004,4.8,5.800000000000001,7.5,6.800000000000001,10.9,8.6,9.4,9.4,9.6,13.600000000000001
0.4,0.8999999999999999,2.6,3.9,2.6,3.0,4.8,5.8999999999999995,7.5,6.800000000000001,10.8,8.5,9.700000000000001,9.4,9.700000000000001,13.4
0.4,1.2,2.7,2.4,2.5,4.2,2.3,7.8,4.6,5.3,5.5,5.7,22.0,7.9,18.6,6.800000000000001
0.4,1.2,2.7,2.3,2.4,4.1000000000000005,2.3,7.7,4.9,5.3,5.4,5.6000000000000005,23.599999999999998,7.8,17.8,6.6000000000000005
0.4,1.2,2.7,2.6,2.5,4.0,2.4,7.7,4.8,5.4,5.6000000000000005,5.7,21.9,7.9,18.4,6.800000000000001
0.4,1.0999999999999999,2.6,2.1999999999999997,2.3,4.3,2.3,8.200000000000001,4.3999999999999995,5.5,5.4,5.7,23.599999999999998,8.0,17.599999999999998,6.3
0.4,1.0999999999999999,2.6,2.1999999999999997,2.3,4.2,2.3,7.9,4.7,5.5,5.4,5.7,25.5,8.0,16.1,6.2
0.5,0.7000000000000001,2.7,4.2,2.9000000000000004,4.1000000000000005,6.6000000000000005,7.3999999999999995,5.1,7.000000000000001,12.0,7.8,7.7,10.7,11.600000000000001,9.1
0.6,0.7000000000000001,2.6,3.3000000000000003,2.3,5.0,6.800000000000001,7.3999999999999995,4.7,7.1,11.799999999999999,8.1,9.9,10.6,10.6,8.6
0.6,0.7000000000000001,2.5,3.2,2.3,4.7,6.4,7.5,5.1,7.000000000000001,11.0,7.7,11.899999999999999,10.4,10.8,8.200000000000001
