darts_enc_pc_cyc_month_sin_pastcov,FESTIVE_PHASE_I_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cus_custom_1_futcov,MARRIAGE_DAYS_futcov,darts_enc_fc_pos_relative_futcov,darts_enc_pc_cus_custom_pastcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_pc_pos_relative_pastcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_cos_futcov,FESTIVE_PHASE_II_futcov,darts_enc_pc_cus_custom_1_pastcov,NET_SALES_target,darts_enc_pc_cyc_month_cos_pastcov,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
0.4,0.5,0.7000000000000001,0.8999999999999999,1.0,1.5,1.5,1.7999999999999998,2.0,2.1999999999999997,2.3,2.7,3.2,3.6999999999999997,5.4,5.7,6.0,7.9,8.5,9.700000000000001,14.499999999999998,17.5
0.5,0.6,0.7000000000000001,1.0,0.7000000000000001,1.5,0.7000000000000001,2.6,3.1,2.1999999999999997,2.0,2.7,2.7,3.3000000000000003,6.4,5.7,6.800000000000001,13.200000000000001,12.9,7.3,13.100000000000001,10.100000000000001
2.1999999999999997,0.4,0.5,1.2,0.4,1.5,0.3,4.0,3.3000000000000003,2.3,2.7,3.4000000000000004,3.1,3.6999999999999997,13.3,4.2,8.7,8.3,17.5,8.5,6.5,4.0
2.1,0.5,0.6,1.3,0.4,1.7999999999999998,0.3,4.1000000000000005,4.8,2.4,2.5,3.5999999999999996,3.0,3.5999999999999996,12.9,3.9,10.2,2.8000000000000003,21.2,6.0,8.3,3.8
2.1999999999999997,0.4,0.6,1.4000000000000001,0.3,1.7999999999999998,0.3,4.2,3.5000000000000004,2.5,2.5,3.5000000000000004,3.1,3.5999999999999996,13.0,3.9,10.8,2.7,21.0,6.2,8.6,3.9
1.9,0.4,0.5,1.5,0.4,1.4000000000000001,0.4,3.9,1.9,2.7,2.4,3.2,3.1,3.5999999999999996,11.200000000000001,3.9,13.3,2.9000000000000004,17.1,8.5,11.4,4.3
2.0,0.3,0.5,1.5,0.4,1.4000000000000001,0.3,4.0,2.1,2.7,2.5,3.3000000000000003,3.1,3.5999999999999996,11.4,4.0,13.4,2.9000000000000004,18.2,7.3999999999999995,10.8,4.2
2.1,0.2,0.6,1.0999999999999999,0.5,1.3,0.3,4.0,3.5999999999999996,2.4,2.7,4.6,3.3000000000000003,3.6999999999999997,10.9,4.3999999999999995,10.100000000000001,8.3,20.4,5.2,6.1,4.2
2.1,0.3,0.5,1.4000000000000001,0.4,1.4000000000000001,0.3,4.1000000000000005,2.5,2.7,2.6,3.5000000000000004,3.2,3.6999999999999997,11.600000000000001,4.1000000000000005,12.9,2.8000000000000003,19.3,6.6000000000000005,9.8,4.2
2.1,0.3,0.6,1.4000000000000001,0.4,1.5,0.3,4.1000000000000005,3.0,2.7,2.6,3.5999999999999996,3.2,3.5999999999999996,11.5,4.1000000000000005,12.6,2.8000000000000003,20.3,5.8999999999999995,9.6,4.0
