PROP_FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_1_pastcov,FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_pastcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_pc_pos_relative_pastcov,darts_enc_fc_pos_relative_futcov,MARRIAGE_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cus_custom_1_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_pc_cyc_month_sin_pastcov,darts_enc_pc_cyc_month_cos_pastcov,FESTIVE_PHASE_II_futcov,NET_SALES_target,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
0.7000000000000001,0.8999999999999999,0.8999999999999999,1.0,1.3,1.3,1.3,1.5,1.5,1.7000000000000002,1.9,2.0,2.1999999999999997,2.5,2.9000000000000004,3.4000000000000004,3.8,5.2,7.7,18.099999999999998,18.2,20.1
0.8,1.0,1.4000000000000001,0.8999999999999999,1.6,2.1999999999999997,1.7000000000000002,2.3,0.8999999999999999,1.9,3.5999999999999996,1.9,2.3,2.9000000000000004,4.3999999999999995,3.5000000000000004,3.8,3.0,7.6,23.9,13.0,15.2
1.5,2.0,0.7000000000000001,0.8999999999999999,2.1,2.5,2.1999999999999997,2.1,1.7000000000000002,2.8000000000000003,5.0,4.0,11.600000000000001,4.3999999999999995,4.1000000000000005,4.6,4.1000000000000005,3.2,8.5,21.6,7.3,3.1
1.3,1.9,0.1,0.8999999999999999,2.8000000000000003,2.8000000000000003,2.1999999999999997,1.9,0.7000000000000001,2.9000000000000004,5.8999999999999995,2.9000000000000004,5.7,4.7,2.8000000000000003,4.8,3.4000000000000004,3.2,9.0,28.1,7.8,4.2
1.3,1.9,0.1,0.8999999999999999,2.1999999999999997,2.5,2.3,2.0,0.7000000000000001,3.0,5.2,3.0,6.5,4.8,2.9000000000000004,4.6,3.5000000000000004,3.3000000000000003,9.3,27.800000000000004,7.9,4.2
1.0,1.5,0.2,0.8,1.5,1.7999999999999998,2.1,2.1,0.6,2.6,3.6999999999999997,2.7,3.9,4.5,2.7,3.8,3.1,4.1000000000000005,12.3,24.9,13.3,6.9
1.0999999999999999,1.6,0.1,0.8,1.5,2.0,2.1999999999999997,2.1,0.6,2.8000000000000003,4.2,2.9000000000000004,5.2,4.7,2.8000000000000003,4.0,3.3000000000000003,4.0,11.799999999999999,25.4,11.200000000000001,5.5
1.2,1.9,0.7000000000000001,0.8,1.7999999999999998,2.8000000000000003,2.1999999999999997,2.1999999999999997,0.8,2.8000000000000003,4.9,3.1,7.6,4.7,4.5,4.5,4.3999999999999995,3.0,8.5,27.0,6.6000000000000005,3.9
1.2,1.7000000000000002,0.1,0.8999999999999999,1.7999999999999998,2.1999999999999997,2.3,2.1,0.6,2.8000000000000003,4.3,2.8000000000000003,4.3999999999999995,4.8,2.9000000000000004,4.2,3.4000000000000004,3.2,11.200000000000001,27.700000000000003,9.8,5.8999999999999995
1.2,1.7999999999999998,0.1,0.8999999999999999,1.7999999999999998,2.3,2.3,2.1,0.6,2.9000000000000004,4.7,2.8000000000000003,4.8,4.8,2.9000000000000004,4.3,3.4000000000000004,3.2,10.8,27.900000000000002,9.3,5.2
1.3,1.9,0.6,0.8,2.4,2.9000000000000004,2.1999999999999997,2.1,0.8,2.8000000000000003,5.1,3.1,7.7,4.6,4.3999999999999995,4.6,4.3,2.8000000000000003,7.8,28.4,5.7,3.5999999999999996
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,2.1,2.0,2.3,2.1,0.5,2.8000000000000003,4.2,2.7,3.9,4.9,2.9000000000000004,4.1000000000000005,3.3000000000000003,3.3000000000000003,11.200000000000001,27.700000000000003,10.0,6.3
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,1.9,2.0,2.3,2.1999999999999997,0.5,2.8000000000000003,4.1000000000000005,2.7,4.0,4.8,2.9000000000000004,4.0,3.3000000000000003,3.5999999999999996,11.5,26.8,10.9,6.0
1.2,1.7999999999999998,0.1,0.8999999999999999,2.1,2.3,2.3,2.1,0.6,2.9000000000000004,4.5,2.8000000000000003,4.5,4.9,2.9000000000000004,4.3,3.4000000000000004,3.1,10.4,28.799999999999997,8.7,5.5
1.2,1.7999999999999998,0.1,0.8,1.9,2.1,2.1999999999999997,2.1999999999999997,0.7000000000000001,2.8000000000000003,4.3,2.8000000000000003,5.0,4.7,2.7,4.3,3.3000000000000003,3.5000000000000004,9.9,28.999999999999996,10.100000000000001,4.8
1.0,1.6,0.1,0.8,2.1999999999999997,2.4,2.1,2.0,0.5,2.6,4.3999999999999995,2.5,3.3000000000000003,4.6,2.6,4.2,3.0,2.3,9.2,34.300000000000004,8.3,6.1
1.0999999999999999,1.5,1.0999999999999999,0.8,2.1,2.6,2.0,2.1,0.6,2.4,4.5,2.3,3.0,4.2,7.199999999999999,3.9,4.0,2.1999999999999997,8.200000000000001,31.5,7.5,5.4
1.0999999999999999,1.6,0.2,0.8,1.7999999999999998,1.7999999999999998,2.1,2.1999999999999997,0.5,2.6,3.6999999999999997,2.5,3.3000000000000003,4.6,2.7,3.8,3.1,3.5000000000000004,11.899999999999999,26.900000000000002,12.8,6.3
1.0,1.6,0.8,0.8,2.3,2.6,2.0,2.1,0.6,2.5,4.7,2.4,3.1,4.6,4.5,4.1000000000000005,4.1000000000000005,1.9,8.200000000000001,33.2,7.000000000000001,5.800000000000001
1.3,1.7000000000000002,0.2,0.8,2.7,3.0,2.0,2.0,0.7000000000000001,2.7,5.8999999999999995,2.7,4.8,4.3999999999999995,2.5,4.8,3.0,2.5,7.1,35.199999999999996,6.1,4.1000000000000005
1.0,1.5,0.8,0.8,2.1,2.6,2.0,2.0,0.6,2.4,4.7,2.3,3.0,4.3,4.3,3.9,3.8,2.1,8.1,34.4,7.7,5.6000000000000005
1.0999999999999999,1.7000000000000002,0.2,0.8,1.7999999999999998,1.9,2.1,2.1999999999999997,0.5,2.7,3.8,2.6,3.4000000000000004,4.7,2.7,3.9,3.2,3.4000000000000004,11.5,27.6,12.2,6.1
