MONTH_OF_SALE,MONTH_OF_SALE_COLUMN,TOTAL_MONTHLY_SALES,TOTAL_YEARLY_SALES,MONTHLY_CONTRIBUTION
2022-04-01,April - 2022,472432.0,5098125.0,0.0927
2022-05-01,May - 2022,527855.0,5098125.0,0.1035
2022-06-01,June - 2022,396867.0,5098125.0,0.0778
2022-07-01,July - 2022,311621.0,5098125.0,0.0611
2022-08-01,August - 2022,316920.0,5098125.0,0.0622
2022-09-01,September - 2022,294914.0,5098125.0,0.0578
2022-10-01,October - 2022,1016083.0,5098125.0,0.1993
2022-11-01,November - 2022,292179.0,5098125.0,0.0573
2022-12-01,December - 2022,249508.0,5098125.0,0.0489
2023-01-01,January - 2023,359213.0,5098125.0,0.0705
2023-02-01,February - 2023,363491.0,5098125.0,0.0713
2023-03-01,March - 2023,497042.0,5098125.0,0.0975
2023-04-01,April - 2023,423010.0,6463490.0,0.0654
2023-05-01,May - 2023,544794.0,6463490.0,0.0843
2023-06-01,June - 2023,470484.0,6463490.0,0.0728
2023-07-01,July - 2023,396253.0,6463490.0,0.0613
2023-08-01,August - 2023,434805.0,6463490.0,0.0673
2023-09-01,September - 2023,385181.0,6463490.0,0.0596
2023-10-01,October - 2023,617105.0,6463490.0,0.0955
2023-11-01,November - 2023,1347714.0,6463490.0,0.2085
2023-12-01,December - 2023,316435.0,6463490.0,0.049
2024-01-01,January - 2024,466656.0,6463490.0,0.0722
2024-02-01,February - 2024,488523.0,6463490.0,0.0756
2024-03-01,March - 2024,572530.0,6463490.0,0.0886
2024-04-01,April - 2024,663193.0,6838381.0,0.097
2024-05-01,May - 2024,529926.0,6838381.0,0.0775
2024-06-01,June - 2024,510565.0,6838381.0,0.0747
2024-07-01,July - 2024,466085.0,6838381.0,0.0682
2024-08-01,August - 2024,410425.0,6838381.0,0.06
2024-09-01,September - 2024,234604.0,6838381.0,0.0343
2024-10-01,October - 2024,1499323.0,6838381.0,0.2193
2024-11-01,November - 2024,786258.0,6838381.0,0.115
2024-12-01,December - 2024,297114.0,6838381.0,0.0434
2025-01-01,January - 2025,457775.0,6838381.0,0.0669
2025-02-01,February - 2025,456983.0,6838381.0,0.0668
2025-03-01,March - 2025,526130.0,6838381.0,0.0769
2025-04-01,April - 2025,609120.0,6120816.0,0.0995
2025-05-01,May - 2025,535705.0,6120816.0,0.0875
2025-06-01,June - 2025,401428.0,6120816.0,0.0656
2025-07-01,July - 2025,328748.0,6120816.0,0.0537
2025-08-01,August - 2025,331076.0,6120816.0,0.0541
2025-09-01,September - 2025,395829.0,6120816.0,0.0647
2025-10-01,October - 2025,1353626.0,6120816.0,0.2212
2025-11-01,November - 2025,454356.0,6120816.0,0.0742
2025-12-01,December - 2025,286709.0,6120816.0,0.0468
2026-01-01,January - 2026,461752.0,6120816.0,0.0754
2026-02-01,February - 2026,432112.0,6120816.0,0.0706
2026-03-01,March - 2026,530355.0,6120816.0,0.0866
2026-04-01,April - 2026,553030.0,1119177.0,0.4941
2026-05-01,May - 2026,463656.0,1119177.0,0.4143
2026-06-01,June - 2026,102491.0,1119177.0,0.0916
2026-07-01,July - 2026,0.0,1119177.0,0.0
2026-08-01,August - 2026,0.0,1119177.0,0.0
2026-09-01,September - 2026,0.0,1119177.0,0.0
2026-10-01,October - 2026,0.0,1119177.0,0.0
2026-11-01,November - 2026,0.0,1119177.0,0.0
2026-12-01,December - 2026,0.0,1119177.0,0.0
2027-01-01,January - 2027,0.0,1119177.0,0.0
2027-02-01,February - 2027,0.0,1119177.0,0.0
2027-03-01,March - 2027,0.0,1119177.0,0.0
2027-04-01,April - 2027,0.0,,
